Date,Price,Date,Open,High,Low,Close Price,Vol.,Change %,Absolute Value,volatility (in $),Daily volatilit ( in %),,,,Highest Price Ever,Lowest Price Ever,Standard Deviation,Highest Price Movement,Lowest Price Movement,Average daily Volatility ,Highest Price (prevision),Lowest Price (prevision)
02-01-2024,"4,906.19",02-01-2024,"4,861.11","4,906.97","4,853.52","4,906.19",,1.25%,1%,53.45,1.10%,,,,"  $4,931.09  "," $4,916.27 ",  $263.30  ,2.28%,0.00%,1.01%,#VALUE!,#VALUE!
01/31/2024,"4,845.65",01/31/2024,"4,899.19","4,906.75","4,845.15","4,845.65",,-1.61%,2%,61.6,1.26%,,,,,,,,,,,
01/30/2024,"4,924.97",01/30/2024,"4,925.89","4,931.09","4,916.27","4,924.97",,-0.06%,0%,14.82,0.30%,,,,,,,,,,,
01/29/2024,"4,927.93",01/29/2024,"4,892.95","4,929.31","4,887.40","4,927.93",,0.76%,1%,41.91,0.86%,,,,Results,,,,,,,
01/26/2024,"4,890.97",01/26/2024,"4,888.91","4,906.69","4,881.47","4,890.97",,-0.07%,0%,25.22,0.52%,,,,,,,,,,,
01/25/2024,"4,894.16",01/25/2024,"4,886.66","4,898.15","4,869.34","4,894.16",,0.53%,1%,28.81,0.59%,,,,Highest Vs Lowest price,,Highest vs Lowest price movement (%),,Price range prevision,,Other,
01/24/2024,"4,868.55",01/24/2024,"4,888.56","4,903.68","4,865.94","4,868.55",,0.08%,0%,37.74,0.77%,,,,Highest Price,Lowest Price,Highest movement,Lowest movement,Highest price,Lowest price,Standard Deviation,Dailty volatility
01/23/2024,"4,864.60",01/23/2024,"4,856.80","4,866.48","4,844.37","4,864.60",,0.29%,0%,22.11,0.46%,,,,"   $4,931.09   "," $4,916.27 ",2.28%,0.00%,#VALUE!,#VALUE!,  $263.30  ,1.01%
01/22/2024,"4,850.43",01/22/2024,"4,853.42","4,868.41","4,844.05","4,850.43",,0.22%,0%,24.36,0.50%,,,,,,,,,,,
01/19/2024,"4,839.81",01/19/2024,"4,796.28","4,842.07","4,785.87","4,839.81",,1.23%,1%,56.2,1.17%,,,,,,,,,,,
01/18/2024,"4,780.94",01/18/2024,"4,760.10","4,785.79","4,740.57","4,780.94",,0.88%,1%,45.22,0.95%,,,,,,,,,,,
01/17/2024,"4,739.21",01/17/2024,"4,739.13","4,744.23","4,714.82","4,739.21",,-0.56%,1%,29.41,0.62%,,,,,,,,,,,
01/16/2024,"4,765.98",01/16/2024,"4,772.35","4,782.34","4,747.12","4,765.98",,-0.37%,0%,35.22,0.74%,,,,,,,,,,,
01-12-2024,"4,783.83",01-12-2024,"4,791.18","4,802.40","4,768.98","4,783.83",,0.08%,0%,33.42,0.70%,,,,,,,,,,,
01-11-2024,"4,780.24",01-11-2024,"4,792.13","4,798.50","4,739.58","4,780.24",,-0.07%,0%,58.92,1.23%,,,,,,,,,,,
01-10-2024,"4,783.45",01-10-2024,"4,759.94","4,790.80","4,756.20","4,783.45",,0.57%,1%,34.6,0.73%,,,,,,,,,,,
01-09-2024,"4,756.50",01-09-2024,"4,741.93","4,765.47","4,730.35","4,756.50",,-0.15%,0%,35.12,0.74%,,,,,,,,,,,
01-08-2024,"4,763.54",01-08-2024,"4,703.70","4,764.54","4,699.82","4,763.54",,1.41%,1%,64.72,1.38%,,,,,,,,,,,
01-05-2024,"4,697.24",01-05-2024,"4,690.57","4,721.49","4,682.11","4,697.24",,0.18%,0%,39.38,0.84%,,,,,,,,,,,
01-04-2024,"4,688.68",01-04-2024,"4,697.42","4,726.78","4,687.53","4,688.68",,-0.34%,0%,39.25,0.84%,,,,,,,,,,,
01-03-2024,"4,704.81",01-03-2024,"4,725.07","4,729.29","4,699.71","4,704.81",,-0.80%,1%,29.58,0.63%,,,,,,,,,,,
01-02-2024,"4,742.83",01-02-2024,"4,745.20","4,754.33","4,722.67","4,742.83",,-0.57%,1%,31.66,0.67%,,,,,,,,,,,
12/29/2023,"4,769.83",12/29/2023,"4,782.88","4,788.43","4,751.99","4,769.83",,-0.28%,0%,36.44,0.76%,,,,,,,,,,,
12/28/2023,"4,783.35",12/28/2023,"4,786.44","4,793.30","4,780.98","4,783.35",,0.04%,0%,12.32,0.26%,,,,,,,,,,,
12/27/2023,"4,781.58",12/27/2023,"4,773.45","4,785.39","4,768.90","4,781.58",,0.14%,0%,16.49,0.35%,,,,,,,,,,,
12/26/2023,"4,774.75",12/26/2023,"4,758.86","4,784.72","4,758.45","4,774.75",,0.42%,0%,26.27,0.55%,,,,,,,,,,,
12/22/2023,"4,754.63",12/22/2023,"4,753.92","4,772.94","4,736.77","4,754.63",,0.17%,0%,36.17,0.76%,,,,,,,,,,,
12/21/2023,"4,746.75",12/21/2023,"4,724.29","4,748.71","4,708.35","4,746.75",,1.03%,1%,40.36,0.85%,,,,,,,,,,,
12/20/2023,"4,698.35",12/20/2023,"4,764.73","4,778.01","4,697.82","4,698.35",,-1.47%,1%,80.19,1.68%,,,,,,,,,,,
12/19/2023,"4,768.37",12/19/2023,"4,743.72","4,768.69","4,743.72","4,768.37",,0.59%,1%,24.97,0.53%,,,,,,,,,,,
12/18/2023,"4,740.56",12/18/2023,"4,725.58","4,749.52","4,725.58","4,740.56",,0.45%,0%,23.94,0.51%,,,,,,,,,,,
12/15/2023,"4,719.19",12/15/2023,"4,714.23","4,725.53","4,704.69","4,719.19",,-0.01%,0%,20.84,0.44%,,,,,,,,,,,
12/14/2023,"4,719.55",12/14/2023,"4,721.04","4,738.57","4,694.34","4,719.55",,0.26%,0%,44.23,0.94%,,,,,,,,,,,
12/13/2023,"4,707.09",12/13/2023,"4,646.20","4,709.69","4,643.23","4,707.09",,1.37%,1%,66.46,1.43%,,,,,,,,,,,
12-12-2023,"4,643.70",12-12-2023,"4,618.30","4,643.93","4,608.09","4,643.70",,0.46%,0%,35.84,0.78%,,,,,,,,,,,
12-11-2023,"4,622.44",12-11-2023,"4,593.39","4,623.71","4,593.39","4,622.44",,0.39%,0%,30.32,0.66%,,,,,,,,,,,
12-08-2023,"4,604.37",12-08-2023,"4,576.20","4,609.23","4,574.06","4,604.37",,0.41%,0%,35.17,0.77%,,,,,,,,,,,
12-07-2023,"4,585.59",12-07-2023,"4,568.84","4,590.92","4,565.22","4,585.59",,0.80%,1%,25.7,0.56%,,,,,,,,,,,
12-06-2023,"4,549.34",12-06-2023,"4,586.23","4,590.74","4,546.50","4,549.34",,-0.39%,0%,44.24,0.96%,,,,,,,,,,,
12-05-2023,"4,567.18",12-05-2023,"4,557.25","4,578.56","4,551.68","4,567.18",,-0.06%,0%,26.88,0.59%,,,,,,,,,,,
12-04-2023,"4,569.78",12-04-2023,"4,564.37","4,572.37","4,546.72","4,569.78",,-0.54%,1%,25.65,0.56%,,,,,,,,,,,
12-01-2023,"4,594.63",12-01-2023,"4,559.43","4,599.39","4,554.71","4,594.63",,0.59%,1%,44.68,0.98%,,,,,,,,,,,
11/30/2023,"4,567.80",11/30/2023,"4,554.87","4,569.89","4,537.24","4,567.80",,0.38%,0%,32.65,0.72%,,,,,,,,,,,
11/29/2023,"4,550.58",11/29/2023,"4,571.84","4,587.64","4,547.15","4,550.58",,-0.09%,0%,40.49,0.89%,,,,,,,,,,,
11/28/2023,"4,554.89",11/28/2023,"4,545.55","4,568.14","4,540.51","4,554.89",,0.10%,0%,27.63,0.61%,,,,,,,,,,,
11/27/2023,"4,550.43",11/27/2023,"4,554.86","4,560.52","4,546.32","4,550.43",,-0.20%,0%,14.2,0.31%,,,,,,,,,,,
11/24/2023,"4,559.34",11/24/2023,"4,555.84","4,560.31","4,552.80","4,559.34",,0.06%,0%,7.51,0.16%,,,,,,,,,,,
11/22/2023,"4,556.62",11/22/2023,"4,553.04","4,568.43","4,545.05","4,556.62",,0.41%,0%,23.38,0.51%,,,,,,,,,,,
11/21/2023,"4,538.19",11/21/2023,"4,538.77","4,542.14","4,525.51","4,538.19",,-0.20%,0%,16.63,0.37%,,,,,,,,,,,
11/20/2023,"4,547.38",11/20/2023,"4,511.70","4,557.11","4,510.36","4,547.38",,0.74%,1%,46.75,1.04%,,,,,,,,,,,
11/17/2023,"4,514.02",11/17/2023,"4,509.55","4,520.12","4,499.66","4,514.02",,0.13%,0%,20.46,0.45%,,,,,,,,,,,
11/16/2023,"4,508.24",11/16/2023,"4,497.08","4,511.99","4,487.83","4,508.24",,0.12%,0%,24.16,0.54%,,,,,,,,,,,
11/15/2023,"4,502.88",11/15/2023,"4,505.30","4,521.17","4,495.31","4,502.88",,0.16%,0%,25.86,0.57%,,,,,,,,,,,
11/14/2023,"4,495.70",11/14/2023,"4,458.97","4,508.67","4,458.97","4,495.70",,1.91%,2%,49.7,1.11%,,,,,,,,,,,
11/13/2023,"4,411.55",11/13/2023,"4,406.66","4,421.76","4,393.82","4,411.55",,-0.08%,0%,27.94,0.63%,,,,,,,,,,,
11-10-2023,"4,415.24",11-10-2023,"4,364.15","4,418.03","4,353.34","4,415.24",,1.56%,2%,64.69,1.48%,,,,,,,,,,,
11-09-2023,"4,347.35",11-09-2023,"4,391.41","4,393.40","4,343.94","4,347.35",,-0.81%,1%,49.46,1.13%,,,,,,,,,,,
11-08-2023,"4,382.78",11-08-2023,"4,384.37","4,391.20","4,359.76","4,382.78",,0.10%,0%,31.44,0.72%,,,,,,,,,,,
11-07-2023,"4,378.38",11-07-2023,"4,366.21","4,386.26","4,355.41","4,378.38",,0.28%,0%,30.85,0.71%,,,,,,,,,,,
11-06-2023,"4,365.98",11-06-2023,"4,364.27","4,372.21","4,347.53","4,365.98",,0.18%,0%,24.68,0.57%,,,,,,,,,,,
11-03-2023,"4,358.34",11-03-2023,"4,334.23","4,373.62","4,334.23","4,358.34",,0.94%,1%,39.39,0.91%,,,,,,,,,,,
11-02-2023,"4,317.78",11-02-2023,"4,268.26","4,319.72","4,268.26","4,317.78",,1.89%,2%,51.46,1.21%,,,,,,,,,,,
11-01-2023,"4,237.86",11-01-2023,"4,201.27","4,245.64","4,197.74","4,237.86",,1.05%,1%,47.9,1.14%,,,,,,,,,,,
10/31/2023,"4,193.80",10/31/2023,"4,171.33","4,195.55","4,153.12","4,193.80",,0.65%,1%,42.43,1.02%,,,,,,,,,,,
10/30/2023,"4,166.82",10/30/2023,"4,139.39","4,177.47","4,132.94","4,166.82",,1.20%,1%,44.53,1.08%,,,,,,,,,,,
10/27/2023,"4,117.37",10/27/2023,"4,152.93","4,156.70","4,103.78","4,117.37",,-0.48%,0%,52.92,1.27%,,,,,,,,,,,
10/26/2023,"4,137.23",10/26/2023,"4,175.99","4,183.60","4,127.90","4,137.23",,-1.18%,1%,55.7,1.33%,,,,,,,,,,,
10/25/2023,"4,186.77",10/25/2023,"4,232.42","4,232.42","4,181.42","4,186.77",,-1.43%,1%,51,1.20%,,,,,,,,,,,
10/24/2023,"4,247.68",10/24/2023,"4,235.79","4,259.38","4,219.43","4,247.68",,0.73%,1%,39.95,0.94%,,,,,,,,,,,
10/23/2023,"4,217.04",10/23/2023,"4,210.40","4,255.84","4,189.22","4,217.04",,-0.17%,0%,66.62,1.58%,,,,,,,,,,,
10/20/2023,"4,224.16",10/20/2023,"4,273.85","4,276.56","4,223.03","4,224.16",,-1.26%,1%,53.53,1.25%,,,,,,,,,,,
10/19/2023,"4,278.00",10/19/2023,"4,321.36","4,339.54","4,269.69","4,278.00",,-0.85%,1%,69.85,1.62%,,,,,,,,,,,
10/18/2023,"4,314.60",10/18/2023,"4,357.35","4,364.20","4,303.84","4,314.60",,-1.34%,1%,60.36,1.39%,,,,,,,,,,,
